LIGGGHTS (Version LIGGGHTS-PUBLIC 3.8.0, compiled 2024-03-31-20:10:17 by buildd, git commit unknown)
Reading data file ...
  orthogonal box = (-1 -1 -1) to (1 7 1)
  1 by 1 by 1 MPI processor grid
  100 atoms

Reading STL file 'wall.stl' (mesh processing step 1/3) 
Setting up run at Sun Mar 15 12:26:25 2026

Mesh cad: 1 elements have high aspect ratio (soft limit: smallest angle > 0.500000 ° required)
WARNING: Fix mesh: Mesh contains highly skewed element, moving mesh (if used) will not parallelize well (./src/surface_mesh_I.h:657)
WARNING: Mesh cad: proc 0 has 1 element pairs that are coplanar, share an edge and overlap (but are not duplicate)
Import and parallelization of mesh cad containing 2498 triangle(s) successful
Memory usage per processor = 14.4494 Mbytes
    Step    Atoms         KinEng            CPU 
  417000      100      14.319999      42.435262 
  418000      100      14.321458      42.541879 
  419000      100      14.370017      42.651988 
  420000      100      14.390911      42.766628 
  421000      100      14.481886      42.892012 
  422000      100      14.458946      43.004554 
  423000      100      14.469542      43.113523 
  424000      100       14.52015      43.221175 
  425000      100      14.596419      43.331928 
  426000      100       14.72001      43.442164 
  427000      100      14.723812      43.557468 
  428000      100      14.734357      43.668412 
  429000      100      14.772567      43.778725 
  430000      100      14.906948      43.886218 
  431000      100      14.987624      43.994222 
  432000      100      15.030417      44.107281 
  433000      100      15.130519      44.217108 
  434000      100      15.257653      44.327632 
  435000      100      15.238335       44.43537 
  436000      100      15.292466      44.549226 
  437000      100      15.356067      44.661572 
  438000      100      15.456857      44.772704 
  439000      100      15.537462       44.89195 
  440000      100       15.59164      45.001203 
  441000      100      15.664553      45.112305 
  442000      100      15.780112       45.23046 
  443000      100      15.777336      45.349355 
  444000      100      15.782354      45.465096 
  445000      100       15.80658      45.581309 
  446000      100      15.789493      45.691973 
  447000      100      15.876152      45.804423 
  448000      100      15.958798      45.915279 
  449000      100      15.978776      46.026361 
  450000      100      15.959686      46.134708 
  451000      100      16.043402      46.237583 
  452000      100      16.106194      46.344229 
  453000      100      16.122115      46.455723 
  454000      100      16.066567      46.563329 
  455000      100      16.062571       46.67308 
  456000      100       16.10714      46.778525 
  457000      100       16.17748      46.883267 
  458000      100      16.292333      46.991422 
  459000      100      16.238102      47.100285 
  460000      100      16.253905      47.211899 
  461000      100      16.262621        47.3148 
  462000      100      16.323312      47.418913 
  463000      100      16.320123      47.531147 
  464000      100      16.337765       47.64287 
  465000      100      16.442847       47.75417 
  466000      100      16.534452      47.863257 
  467000      100       16.59053      47.970405 
  468000      100      16.640941      48.074677 
  469000      100      16.722424      48.179639 
  470000      100      16.748879      48.279175 
  471000      100      16.737772      48.380854 
  472000      100      16.743063      48.481061 
  473000      100      16.775269      48.588659 
  474000      100      16.875786      48.690304 
  475000      100      16.859261      48.794888 
  476000      100      16.910575      48.896875 
  477000      100      16.993663      49.001587 
  478000      100      16.954053      49.108019 
  479000      100       17.00795      49.216104 
  480000      100      17.035831      49.320543 
  481000      100      17.090006       49.42843 
  482000      100      17.148184      49.537087 
  483000      100      17.222621      49.642828 
  484000      100      17.319526      49.748136 
  485000      100      17.452087      49.854815 
  486000      100      17.587997       49.96245 
  487000      100      17.552321      50.069045 
  488000      100      17.655629      50.176522 
  489000      100      17.707321      50.282838 
  490000      100      17.842752      50.387135 
  491000      100      17.906436       50.49154 
  492000      100      18.017823      50.599368 
  493000      100      18.077501      50.705766 
  494000      100      18.084987      50.807417 
  495000      100      18.137733      50.912064 
  496000      100      18.207956      51.021506 
  497000      100      18.260859      51.131664 
  498000      100       18.36631      51.247952 
  499000      100      18.455772       51.35793 
  500000      100      18.449853      51.463312 
  501000      100      18.522963      51.568816 
  502000      100      18.596992      51.678427 
  503000      100      18.632582      51.786427 
  504000      100      18.712653      51.888911 
  505000      100      18.791769      51.993106 
  506000      100      18.795859      52.097554 
  507000      100       18.83745       52.19968 
  508000      100      18.823307      52.309986 
  509000      100      18.893206      52.416003 
  510000      100      19.008288      52.524053 
  511000      100      19.067458      52.629542 
  512000      100      19.099168      52.737832 
  513000      100      19.190879      52.844495 
  514000      100      19.199846      52.948487 
  515000      100      19.239939      53.053777 
  516000      100      19.193856      53.158833 
  517000      100      19.314154      53.263016 
  518000      100      19.310837      53.370914 
  519000      100      19.303952       53.47517 
  520000      100      19.286143       53.57795 
  521000      100      19.209851      53.679951 
  522000      100      19.260467      53.783074 
  523000      100      19.262221      53.888449 
  524000      100      19.295962      53.997562 
  525000      100      19.342939      54.098026 
  526000      100      19.327149       54.20584 
  527000      100      19.362308      54.308693 
  528000      100      19.371175      54.411866 
  529000      100      19.394676      54.520576 
  530000      100      19.458413      54.623227 
  531000      100      19.508505       54.72692 
  532000      100      19.595567      54.831653 
  533000      100      19.603932      54.932599 
  534000      100      19.719809      55.041635 
  535000      100      19.723298      55.147619 
  536000      100      19.748515      55.259465 
  537000      100        19.7993      55.375187 
  538000      100      19.931093      55.479094 
  539000      100      19.961964      55.589706 
  540000      100      19.989554      55.693571 
  541000      100      20.008035      55.796494 
  542000      100      19.962223      55.909728 
  543000      100      20.058394      56.014035 
  544000      100      19.995879      56.123581 
  545000      100      20.057083      56.227123 
  546000      100      20.160275      56.326843 
  547000      100      20.227608      56.429927 
  548000      100      20.204043      56.533408 
  549000      100      20.236464      56.646205 
  550000      100      20.151975      56.758764 
  551000      100      20.218349      56.865798 
  552000      100      20.193133      56.979533 
  553000      100      20.280479      57.089416 
  554000      100      20.365076      57.192984 
  555000      100        20.3688      57.296609 
  556000      100      20.325335      57.400554 
  557000      100      20.385768      57.498663 
  558000      100      20.490316      57.601611 
  559000      100      20.555476      57.704573 
  560000      100      20.632137      57.807255 
  561000      100      20.749744       57.91077 
  562000      100      20.730828      58.016675 
  563000      100      20.715388      58.122168 
  564000      100      20.743062      58.223971 
  565000      100      20.795706      58.324513 
  566000      100      20.843672      58.428122 
  567000      100      20.842264      58.530774 
  568000      100      20.775986      58.632569 
  569000      100      20.839651      58.741794 
  570000      100      20.791625      58.847266 
  571000      100      20.868377      58.948679 
  572000      100      20.821731      59.053283 
  573000      100      20.989477      59.154865 
  574000      100      21.002206      59.269647 
  575000      100      21.072461      59.376951 
  576000      100      21.051553       59.48371 
  577000      100      21.142963      59.591553 
  578000      100      21.252344      59.702624 
  579000      100      21.224433       59.81609 
  580000      100      21.396368      59.925513 
  581000      100      21.412223      60.032759 
  582000      100      21.413982      60.141961 
  583000      100      21.379534       60.24822 
  584000      100      21.458021      60.358013 
  585000      100       21.49788      60.467315 
  586000      100      21.489508       60.57681 
  587000      100      21.599664      60.687289 
  588000      100      21.679039      60.792595 
  589000      100      21.778132      60.903191 
  590000      100      21.783506      61.016462 
  591000      100      21.875602      61.121549 
  592000      100      21.975891      61.231194 
  593000      100       21.99444      61.335635 
  594000      100      22.124236      61.443359 
  595000      100      22.147219      61.562632 
  596000      100      22.169463      61.687691 
  597000      100      22.203826      61.797776 
  598000      100      22.261696      61.917426 
  599000      100      22.226405      62.040117 
